order_id,order_date,customer_id,product_category,order_amount,payment_method,billing_country,shipping_country,email_age_days,account_age_days,device_type,ip_risk_level,failed_payment_attempts,delivery_speed,risk_score,is_fraud
ORD00003785,2025-09-15 10:42:46,EC000157,beauty,428.92,upi,Australia,,1868,491,android,low,1,express,12,0
ORD00005829,2025-11-27 19:21:20,EC002940,fashion,1981.66,,United Kingdom,United Kingdom,1041,1035,windows,low,0,same_day,6,0
ORD00007345,2025-08-01 10:08:16,EC002920,sports,849.85,upi,Singapore,Singapore,564,836,mac,low,0,standard,12,0
ORD00003114,2025-09-08 04:58:47,EC000941,electronics,100.96,net_banking,Singapore,Singapore,399,1782,windows,high,3,express,49,0
ORD00008267,2025-01-17 12:31:26,EC003901,sports,889.11,credit_card,India,India,400,1518,mac,medium,0,standard,18,0
ORD00010314,2025-07-20 19:21:08,EC001505,home,575.68,credit_card,Australia,Germany,877,1251,other,medium,3,standard,55,0
ORD00008546,2025-04-30 10:48:21,EC003022,electronics,259.31,credit_card,Singapore,Singapore,336,486,other,medium,0,standard,21,0
ORD00005976,2025-10-22 03:03:39,EC002963,sports,465.21,debit_card,Canada,Canada,722,1777,android,high,3,standard,52,0
ORD00009625,2025-09-15 02:59:39,EC002101,electronics,427.24,wallet,UAE,UAE,,128,mac,low,2,same_day,24,0
ORD00009451,2025-01-25 21:36:49,EC001754,books,335.7,upi,Germany,Germany,783,78,ios,low,0,standard,8,0
ORD00000962,2025-07-16 00:14:22,EC002256,fashion,151.18,wallet,United Kingdom,United Kingdom,1257,584,android,low,3,same_day,31,0
ORD00009611,2025-04-15 01:21:37,EC001547,books,450.56,credit_card,United States,Germany,997,593,mac,low,2,standard,47,0
ORD00006273,2025-11-30 19:37:11,EC003716,fashion,318.18,debit_card,Germany,Germany,546,575,mac,medium,3,express,34,0
ORD00008148,2025-12-25 15:20:30,EC002263,fashion,394.46,net_banking,United States,United States,1753,990,android,medium,2,standard,35,0
ORD00000192,2025-06-26 00:12:15,EC002789,home,206.38,credit_card,Canada,Canada,148,1740,ios,medium,0,same_day,18,0
