transaction_id,transaction_date,customer_id,card_type,amount,merchant_category,merchant_country,transaction_channel,device_type,is_international,is_card_present,transactions_last_24h,average_amount_30d,risk_score,is_fraud
CC00011340,2025-07-15 19:54:24,C002995,visa,55.82,travel,UAE,website,windows,0,1,7,77.01,10,0
CC00007384,2025-07-08 14:57:48,C003084,mastercard,85.33,travel,UAE,atm,windows,0,0,3,134.09,35,0
CC00002213,2025-05-02 20:09:53,C003082,amex,76.06,entertainment,United States,website,other,1,1,5,162.75,28,0
CC00009658,2025-01-12 15:39:05,C002467,rupay,72.56,travel,United States,website,windows,0,0,4,104.91,33,0
CC00009328,2025-07-31 05:04:38,C001852,rupay,257.07,fuel,UAE,pos,android,1,0,1,179.18,53,0
CC00003925,2025-11-17 08:23:53,C001215,visa,414.34,fashion,Canada,atm,android,0,0,8,71.05,25,0
CC00000977,2025-01-15 18:10:37,C002975,amex,251.15,fuel,United Kingdom,website,mac,0,1,2,78.79,11,0
CC00010094,2025-03-25 07:50:12,C003057,amex,387.46,electronics,Canada,pos,android,0,0,6,124.99,21,0
CC00008129,2025-01-14 23:36:46,C002451,amex,97.66,entertainment,Australia,atm,android,0,1,2,279.06,15,0
CC00005321,2025-05-23 18:18:19,C002272,rupay,163.09,grocery,UAE,website,windows,0,1,1,71.28,18,0
CC00001287,2025-06-19 05:14:08,C000356,visa,210.52,travel,United Kingdom,mobile_app,mac,0,1,7,160.92,24,0
CC00005328,2025-02-06 18:28:48,C001519,visa,72.98,electronics,Germany,pos,android,0,1,8,71.25,11,0
CC00003645,2025-06-30 11:39:41,C002574,mastercard,61.73,entertainment,Australia,atm,mac,0,0,3,128.49,29,0
CC00011908,2025-02-11 14:36:37,C001319,mastercard,213.17,pharmacy,India,website,windows,1,1,10,94.18,39,0
CC00011181,2025-06-02 18:59:09,C002013,rupay,16.83,fashion,,website,mac,0,1,4,192.04,19,0
CC00008644,2025-03-30 14:47:16,C001658,mastercard,324.21,fashion,Germany,atm,windows,0,0,6,93.09,21,0
CC00003420,2025-09-08 07:50:12,C001438,rupay,20.89,restaurant,Germany,atm,ios,0,1,4,54.1,24,0
CC00003465,2025-04-01 19:47:30,C000074,mastercard,62.01,entertainment,United States,pos,mac,0,1,3,187.43,22,0
CC00007351,2025-03-04 21:37:45,C002068,mastercard,595.91,travel,Australia,MOBILE_APP,android,0,0,4,200.54,24,0
CC00005387,2025-01-30 18:23:49,C003452,mastercard,137.99,grocery,India,website,android,0,1,5,373.14,11,0
CC00008722,2025-02-24 03:52:45,C001965,amex,112.17,utilities,Australia,website,windows,0,0,5,62.81,26,0
CC00003859,2025-03-10 18:32:04,C002241,visa,228.2,fashion,Australia,pos,mac,0,1,6,84.12,25,0
CC00007534,2025-09-21 11:18:12,C001901,visa,340.29,pharmacy,Canada,website,android,0,0,5,268.52,32,0
CC00011159,2025-03-10 00:19:13,C002248,visa,147.48,travel,United Kingdom,atm,android,0,1,4,157.16,20,0
CC00006113,2025-09-04 01:02:11,C000689,amex,110.33,grocery,Australia,mobile_app,mac,0,0,3,130.29,27,0
CC00001682,2025-07-04 20:45:35,C002896,amex,41.59,fuel,Germany,website,mac,0,0,2,126.81,25,0
CC00002051,2025-11-29 16:15:32,C000850,visa,1125.72,entertainment,Australia,website,windows,0,0,3,85.3,35,0
CC00001482,2025-03-26 09:11:20,C000336,mastercard,60.01,utilities,Singapore,atm,mac,0,1,4,338.1,22,0
CC00007723,2025-11-18 23:49:43,C001906,visa,368.25,travel,United States,atm,ios,0,1,0,187.27,15,0
CC00010568,2025-04-12 16:15:46,C002648,visa,105.57,utilities,Canada,atm,ios,0,0,9,275.04,29,0
CC00000910,2025-04-01 16:15:06,C000901,visa,42.24,electronics,Singapore,atm,ios,0,1,0,349.23,22,0
CC00003700,2025-01-26 23:04:32,C002933,visa,107.28,travel,India,mobile_app,mac,1,0,1,228.02,50,0
CC00004053,2025-11-08 06:30:55,C002283,visa,245.12,grocery,Australia,pos,ios,0,1,6,122.77,23,0
CC00002000,2025-09-28 02:12:59,C002869,rupay,330.34,fuel,UAE,atm,windows,0,0,2,413.59,28,0
CC00006842,2025-07-29 20:14:37,C000111,visa,407.94,grocery,Canada,mobile_app,ios,0,1,4,258.54,10,1
CC00000089,2025-01-09 23:19:08,C002099,amex,202.18,restaurant,Canada,website,ios,1,0,2,63.36,44,0
CC00005931,2025-03-24 02:30:15,C001660,amex,107.81,utilities,United States,pos,mac,1,0,0,41.73,53,0
CC00006623,2025-05-17 08:06:42,C002653,rupay,61.65,grocery,United States,mobile_app,ios,0,0,5,474.79,27,0
CC00005078,2025-10-04 06:31:32,C003458,mastercard,81.26,utilities,India,website,mac,0,1,7,156.29,20,0
CC00001850,2025-07-15 10:57:07,C002174,visa,233.38,grocery,India,pos,,0,1,4,237.78,22,0
CC00001125,2025-01-16 06:24:22,C002411,mastercard,87.89,electronics,Germany,pos,other,0,0,6,255.09,26,0
CC00005750,2025-11-17 14:08:50,C001052,mastercard,97.43,utilities,Canada,atm,mac,0,1,2,91.73,24,0
CC00000452,2025-10-27 23:10:36,C002978,rupay,88.42,grocery,India,mobile_app,android,0,0,3,146.2,36,0
CC00002421,2025-06-02 15:38:33,C000618,visa,300.62,pharmacy,United Kingdom,atm,mac,1,1,2,185.59,36,0
CC00000509,2025-08-07 04:24:04,C000568,rupay,148.64,fuel,United States,atm,mac,0,1,5,88.8,17,0
CC00011436,2025-04-08 06:46:52,C003442,mastercard,294.83,entertainment,Germany,mobile_app,windows,0,0,6,107.52,24,0
CC00003958,2025-03-23 10:35:49,C001637,mastercard,446.87,travel,UAE,website,other,0,1,1,183.46,25,0
CC00005876,2025-08-26 21:43:33,C001640,amex,81.21,,India,mobile_app,ios,0,0,6,119.38,19,0
CC00002106,2025-06-27 17:03:02,C000100,visa,173.59,restaurant,UAE,mobile_app,other,0,0,6,75.01,28,0
CC00006920,2025-06-25 18:31:12,C001340,rupay,277.54,grocery,UAE,atm,other,0,0,1,125.36,23,0
CC00003077,2025-12-01 23:57:49,C002535,rupay,174.14,pharmacy,Germany,pos,ios,0,1,4,65.57,21,0
CC00001202,2025-11-06 06:56:50,C002908,rupay,457.81,restaurant,UAE,website,windows,0,1,12,162.78,44,0
CC00011475,2025-03-22 03:24:14,C003058,mastercard,111.54,travel,UAE,mobile_app,mac,1,0,9,95.05,46,0
CC00001481,2025-02-17 17:36:30,C002726,mastercard,341.01,electronics,India,mobile_app,other,0,1,4,89.1,12,0
CC00004146,2025-04-13 12:43:57,C002786,amex,277.28,fuel,United Kingdom,website,ios,1,0,1,620.38,42,0
CC00011518,2025-07-31 10:43:22,C002940,mastercard,155.26,fashion,Canada,pos,android,0,1,0,107.78,17,0
CC00002799,2025-09-26 16:21:12,C002459,mastercard,91.76,utilities,Canada,pos,other,0,1,7,56.35,20,0
CC00008918,2025-01-07 00:05:30,C002117,amex,159.12,restaurant,UAE,pos,other,0,0,1,214.78,32,0
CC00003069,2025-02-08 03:28:01,C000098,mastercard,297.7,electronics,United States,mobile_app,mac,0,1,3,194.39,14,0
