transaction_id,transaction_date,sender_account_id,receiver_account_id,transaction_type,amount,sender_balance_before,sender_balance_after,receiver_balance_before,receiver_balance_after,customer_age_group,customer_city,kyc_level,login_attempts,account_age_days,risk_score,is_fraud
FT00011571,2025-12-17 21:09:22,A0003951,A0005116,cash_in,95.05,28567.54,28472.49,272039.89,272134.94,60+,Kolkata,basic,1,1605,16,0
FT00007057,2025-05-18 10:38:28,A0000173,A0006969,debit,2941.78,232660.43,229718.65,735.03,3676.81,26-35,Bengaluru,basic,2,1273,7,0
FT00000058,2025-11-21 04:45:17,A0004037,A0008294,debit,85.76,125164.31,125078.55,222466.91,222552.67,26-35,Mumbai,standard,1,201,8,0
FT00014688,2025-12-06 09:42:47,A0002350,A0005894,debit,603.36,9435.17,8831.81,89411.21,90014.57,60+,Kolkata,basic,2,565,8,0
FT00007562,2025-07-27 09:57:40,A0004268,A0007835,cash_in,264.76,127940.35,127675.59,27787.44,28052.2,36-45,Kolkata,standard,2,164,9,0
FT00014990,2025-07-18 17:06:28,A0004178,A0007525,debit,499.11,170144.57,169645.46,210073.37,210572.48,26-35,Indore,enhanced,2,868,16,0
FT00006782,2025-07-02 08:14:49,A0003983,A0006342,bill_payment,242.84,100177.34,99934.5,32996.98,33239.82,26-35,Indore,basic,3,545,12,0
FT00008052,2025-03-29 04:11:53,A0002751,A0008605,bill_payment,329.12,231452.43,231123.31,108311.67,108640.79,18-25,Pune,standard,1,441,13,0
FT00000201,2025-05-21 22:11:42,A0002100,A0007875,transfer,250.54,11416.28,11165.74,245504.25,245754.79,60+,Kolkata,standard,2,651,25,0
FT00010157,2025-08-16 11:19:07,A0003944,A0008836,transfer,316.05,198178.07,197862.02,100071.24,100387.29,18-25,Delhi,basic,1,1161,24,0
FT00012861,2025-09-23 07:14:54,A0001466,A0006628,transfer,61.4,161633.08,161571.68,197504.54,197565.94,46-60,Indore,standard,2,1464,28,0
FT00000312,2025-08-21 19:55:01,A0002101,A0006458,debit,3420.79,224817.77,221396.98,136845.86,140266.65,46-60,Mumbai,standard,1,196,9,0
FT00009246,2025-04-11 19:30:12,A0002089,A0007436,transfer,149.64,246420.03,246270.39,26373.53,26523.17,60+,Mumbai,standard,1,325,25,0
