transaction_id,transaction_date,customer_id,transaction_type,amount,customer_balance,location,device_type,transaction_hour,distance_from_home_km,transactions_last_1h,new_device,new_location,risk_score,is_fraud
SF00018466,2025-12-05 05:38:28,SC003369,purchase,147.32,318381.96,Pune,windows,19,9.5,0,0,0,16,0
SF00013082,2025-02-25 18:25:30,SC004987,deposit,143.01,168333.7,Delhi,mac,10,5.4,1,0,0,12,0
SF00018209,2025-11-16 20:18:30,SC004589,bill_payment,26.06,16192.45,Indore,ios,9,16.9,0,0,0,13,0
SF00002362,2025-06-20 10:12:12,SC003444,deposit,1025.74,241065.38,Pune,other,9,12.7,5,0,0,30,0
SF00003315,2025-01-27 23:44:50,SC004037,deposit,912,2903.97,Kolkata,other,16,4.1,6,0,0,33,0
SF00012234,2025-03-11 22:04:24,SC001186,deposit,382.21,169372.51,Pune,mac,11,11.2,5,0,0,,0
SF00016713,2025-03-24 05:39:38,SC005059,deposit,456.38,126883.37,Delhi,ios,18,2.8,1,0,0,13,0
SF00017172,2025-10-03 05:41:53,SC001593,deposit,32.66,246337.34,Chennai,android,5,1.9,2,0,0,19,0
SF00006490,2025-12-03 06:59:21,SC002631,transfer,160.12,89603.01,Kolkata, mac ,6,3.5,5,0,0,28,0
SF00013128,2025-10-25 02:30:47,SC005273,deposit,2247.9,145579.47,Kolkata,android,20,55.7,6,1,1,62,0
SF00012072,2025-10-08 15:39:33,SC000407,withdrawal,170.88,232269.99,Pune,MAC,13,0.5,4,0,0,16,0
SF00015829,2025-08-13 13:34:54,SC004820,transfer,880.77,190157.66,Delhi,other,5,11.1,5,0,0,38,0
SF00009979,2025-08-08 01:27:23,SC001077,bill_payment,168.18,2385.03,Kolkata,mac,22,10.4,2,0,0,5,0
SF00003161,2025-06-18 17:33:57,SC004227,purchase,683.71,188530.16,Delhi,other,6,3.8,1,0,0,13,0
SF00006498,2025-09-25 20:15:19,SC002673,purchase,422.82,349379.75,Bengaluru,other,13,18.6,0,0,0,9,0
SF00014007,2025-12-02 08:41:43,SC005438,transfer,181.51,99295.83,Kolkata,ios,8,4.3,2,0,0,14,0
SF00007595,2025-12-08 23:39:20,SC004018,purchase,71.64,279667.14,Mumbai,other,11,15.1,0,0,0,9,0
SF00008257,2025-01-16 01:41:14,SC000950,bill_payment,136.44,121881.83,Indore,other,20,83.1,4,0,1,22,0
SF00003614,2025-05-20 21:06:07,SC003047,deposit,456.67,50643.97,Indore,other,5,6.6,3,0,0,17,0
SF00012271,2025-12-10 22:47:39,SC000069,purchase,32.85,90814.99,Chennai,other,23,117.3,1,0,0,33,0
SF00003031,2025-04-14 22:35:34,SC000106,bill_payment,440.84,309664.51,Delhi,ios,19,2.5,5,0,0,34,0
SF00017646,2025-10-21 23:23:36,SC005985,withdrawal,190.75,146616.57,Mumbai,other,0,7.9,3,0,0,21,0
SF00006436,2025-06-13 05:51:26,SC003863,purchase,720.16,252383.06,Kolkata,other,8,32.1,0,1,0,27,0
SF00008141,2025-04-14 18:51:18,SC002324,transfer,485.41,62569.53,Pune,mac,8,12,5,0,0,31,0
SF00008463,2025-12-04 01:50:52,SC004599,bill_payment,188.29,209345.78,Kolkata,mac,3,12.7,1,0,0,32,0
SF00009198,2025-06-07 11:35:14,SC005025,purchase,272.2,559.49,Indore,windows,10,8.7,0,0,0,16,0
SF00005627,2025-06-10 07:26:23,SC003323,transfer,74.15,199945.96,Bengaluru,mac,0,6.6,0,1,0,41,0
SF00001380,2025-12-03 18:55:47,SC002297,purchase,2560.35,259151.65,Kolkata,windows,8,5.9,6,0,0,31,0
SF00014193,2025-10-10 08:02:40,SC001972,bill_payment,236.29,306567.86,Delhi,android,15,6.8,3,0,0,18,0
SF00005760,2025-12-03 09:24:47,SC005404,purchase,207.06,100374.15,Mumbai,other,13,2.6,6,0,0,26,0
SF00014128,2025-03-09 01:28:36,SC002824,purchase,75.12,141578.09,Delhi,android,17,3.9,3,0,0,8,0
SF00001733,2025-09-15 10:42:46,SC003790,purchase,425.12,208172.24,Chennai,ios,3,28.5,0,0,0,25,0
SF00009511,2025-02-28 06:28:22,SC005298,transfer,388.61,94888.5,Pune,windows,3,3,6,0,0,40,0
SF00001354,2025-04-15 07:57:09,SC000325,transfer,317.87,22373.65,Pune,ios,23,2.6,6,0,0,34,0
SF00014606,2025-08-22 10:40:43,SC002409,bill_payment,96.65,302783.4,Mumbai,other,17,6.6,4,0,0,19,0
SF00006974,2025-12-26 02:43:01,SC004031,purchase,42.39,296831.89,Indore,windows,16,1.4,4,1,0,30,0
SF00005917,2025-11-02 02:01:00,SC002117,deposit,97.12,131230.59,Chennai,windows,8,20.3,2,0,0,15,0
